시점,분류,유형별,항목,데이터
2022,전체,소계,여가시간 활용 (%),11.5
2022,전체,소계,신체건강 유지 (%),15.5
2022,전체,소계,외로움 해소(우울 예방) (%),5.8
2022,전체,소계,소득 증가 (%),56.6
2022,전체,소계,일을 통한 보람과 즐거움 (%),10.4
2022,전체,소계,기타 (%),0.1
