Unnamed: 0,Unnamed: 1,메트릭,지급공통_월평균지급액2
전라남도,보성군,,478014.34533482767
전라남도,화순군,,522214.0228891633
전라남도,장흥군,,463302.4238271804
전라남도,강진군,,490765.62847106054
전라남도,해남군,,466956.6709460075
전라남도,영암군,,496817.42123371834
전라남도,무안군,,490139.99980117305
전라남도,함평군,,483186.713291349
전라남도,영광군,,481086.6659488219
전라남도,장성군,,519538.475111344
전라남도,완도군,,451622.97104767035
전라남도,진도군,,448397.99681528663
전라남도,신안군,,469246.92648663395
경상북도,포항시,,695407.123835552
경상북도,경주시,,621549.0089224781
경상북도,김천시,,548168.8160514408
경상북도,안동시,,517643.6610130957
경상북도,구미시,,650770.1214592773
경상북도,영주시,,503522.42619368935
경상북도,영천시,,534357.7059904243
경상북도,상주시,,507884.18340334925
경상북도,문경시,,529193.3326906763
경상북도,경산시,,563521.3791743831
경상북도,의성군,,502862.95271186443
경상북도,청송군,,528715.937214385
경상북도,영양군,,513205.6814304462
경상북도,영덕군,,497217.3578219533
경상북도,청도군,,546839.5964143833
경상북도,고령군,,523794.6566558441
경상북도,성주군,,536633.7799977167
경상북도,칠곡군,,598079.2773924122
경상북도,예천군,,515000.22451278585
경상북도,봉화군,,524994.6422454804
경상북도,울진군,,539601.9857777777
경상북도,울릉군,,550842.6545319465
경상남도,창원시,,680421.8640430034
경상남도,진주시,,568960.0940518166
경상남도,통영시,,529700.4043094133
경상남도,사천시,,532185.0335990888
경상남도,김해시,,615745.3070523121
경상남도,밀양시,,551871.3267599771
경상남도,거제시,,780820.5792678257
경상남도,양산시,,620714.6463225217
경상남도,의령군,,551457.6999106345
경상남도,함안군,,582121.5934575109
경상남도,창녕군,,537111.9411513859
경상남도,고성군,,532876.493372919
경상남도,남해군,,521847.24593395763
경상남도,하동군,,531018.9345410628
경상남도,산청군,,549060.4516220029
경상남도,함양군,,513637.9290032335
경상남도,거창군,,507581.49911885645
경상남도,합천군,,516564.05001061794
제주특별자치도,제주시,,574300.9096230489
제주특별자치도,서귀포시,,548145.728202319
